Row Labels,Avg. Denial of existence of humanitarian needs or entitlements to assistance,Average of Rule of Law,Average of Freedom in the World,Average of Corruption Perception,Average of Safety and security,Average of Social cohesion,Count of Inequality,Avg Income Gini coefficient,Avg. Empowerment,Avg. Trust in society,Avg. Ethnic Fractionalisation,Avg. Gender Inequality
Afghanistan,0,4,3.7,4.3,5,2.616666667,1,0.4,3.6,3.55,3.8,4.4
Algeria,0,3.2,3.3,3.3,2,2.833333333,3,#DIV/0!,3.9,3.25,2,2.9
Bangladesh,1,3.2,2.8,3.7,2,2,3,0.9,2.5,2.6,1.2,3.5
Brazil,0,2,1.1,3,2,1.916666667,1,3.3,0.7,0.95,2.8,2.8
Burkina Faso,0,2.6,2,2.9,3.5,2.216666667,1,1.3,1.1,1.45,5,4.1
Burundi,3,3.8,4.1,4,2,1.783333333,1,1,2.1,2.6,1.3,3.2
Cameroon,0.5,3.6,3.9,3.7,4,2.833333333,4,2.7,3.2,3.1,4.3,3.8
CAR,0,4,4.6,4,3,3.533333333,1,3.9,3.6,3.4,4.4,4.3
Chad,0.4,3.9,4.1,4,4,3.083333333,5,2.3,1.8,2.55,4.6,4.6
China,1,3.5,4.3,3,2.5,3.2,1,2.1,5,4.2,3.3,1.1
Colombia,0,2.4,1.8,3.2,4,2.3,2,3.6,1.4,1.5,2.1,2.6
Congo,0,3.8,4,4,1.5,3.416666667,1,3,1.4,2.4,3.8,3.9
Costa Rica,0,1.2,0.5,2.1,0,1.25,1,2.9,1.1,0.8,0.7,2.1
Djibouti,0,3.5,3.7,3.5,1.5,1.8,4,2.5,2.9,2.9,0,#DIV/0!
DPRK,3,4.5,4.9,4.4,2,3.425,1,#DIV/0!,5,4.35,5,#DIV/0!
DRC,0.5,4,4.2,4,4.5,3.9,2,2.1,3.9,3.6,4.7,4.4
Ecuador,0,2.9,2,3.5,2,2.4,1,2.5,1.8,1.95,2.3,2.6
Egypt,2,3.3,3.7,3.3,2,2.233333333,1,0.7,3.9,3.55,0.9,3.8
El Salvador,0,2.5,1.5,3.2,3.5,1.966666667,1,2.1,0.7,1.05,5,2.6
Eritrea,#DIV/0!,4.3,4.9,4.1,3,2.875,1,#DIV/0!,5,4.45,2.6,#DIV/0!
Ethiopia,2,3.6,4.4,3.3,3,3.033333333,3,1,3.9,3.7,3.8,3.3
Greece,1,2,0.8,2.8,2,1.083333333,1,1.5,1.8,1.8,0.3,0.8
Guatemala,0,3,2.2,3.6,3.5,2.7,1,3,1.1,1.8,2.4,3.3
Haiti,0,3.6,3,4,2,2.35,1,4.5,2.1,2.55,0.5,4
Honduras,0,3.1,2.7,3.5,3.5,1.95,1,3.2,1.8,1.95,0.8,3.1
India,0.5,2.1,1.2,3,3.5,2.133333333,4,1.1,2.5,1.85,4.4,3.5
Indonesia,1,2.5,1.8,3.2,2,2.4,1,1.3,3.2,2.5,3.9,3.1
Iran,2,3.8,4.1,3.6,1.5,3.116666667,1,1.5,5,4.25,3.7,3.4
Iraq,0,3.7,3.5,4.2,4.5,2.383333333,3,0.6,4.3,3.75,2.7,3.5
Jordan,0,2.7,3.2,2.6,1.5,3.15,1,1.1,4.3,3.55,2.5,3.2
Kenya,0,2.9,2.6,3.7,3.5,2.883333333,4,2.9,3.6,2.75,4.3,3.8
Lebanon,1.5,3.1,2.9,3.6,2,2.566666667,2,#DIV/0!,2.9,2.75,3.9,2.5
Lesotho,0,2.5,1.8,3.1,0,2.6,1,3.6,1.1,1.65,5,3.7
Libya,2,4.3,4.6,4.3,4.5,2.583333333,2,#DIV/0!,4.6,4.15,5,1.1
Madagascar,0,3,2.2,3.7,1.5,2.05,3,2,2.9,2.6,3.1,#DIV/0!
Malawi,0,2.6,1.9,3.5,0.5,2.333333333,1,2.6,1.4,1.6,4.1,4.1
Mali,2,3,2.8,3.4,3.5,1.533333333,1,1,0.7,1.35,0.9,4.6
Mauritania,0,3.4,3.5,3.7,3,2.416666667,2,0.9,3.2,3.05,3.3,4.2
Mexico,0.5,2.7,1.9,3.5,3.5,1.833333333,3,2.9,1.4,1.7,1.3,2.3
Morocco,0,3.1,3.1,3.2,2.5,3.3,1,2,3.2,3.15,4.2,3.3
Mozambique,0,3.3,2.4,3.7,3,2.983333333,3,2.6,2.5,2.65,4.5,3.8
Myanmar,2.333333333,3.6,3.5,3.6,3.5,3.15,3,#DIV/0!,5,4.15,2.6,2.5
Namibia,0,1.9,1.2,2.4,0.5,2.55,1,4.5,1.1,1.2,3.6,3.2
Nicaragua,1,3.2,2.8,3.7,2,2.35,1,2.8,2.9,2.7,1.4,3.1
Niger,0,2.8,2.6,3.3,4,2.283333333,4,1.1,2.1,2,3.1,4.6
Nigeria,0.8,3,2.5,3.6,5,2.5,5,2.2,3.9,3.1,4.1,#DIV/0!
Pakistan,0,3.3,2.9,3.4,4,2.616666667,2,0.6,3.9,3.55,2.8,3.6
Palestine,2,3.8,4.4,#DIV/0!,1.5,0.6,1,1.2,#DIV/0!,#DIV/0!,0,#DIV/0!
Peru,0,2.4,1.4,3.3,2,2.683333333,1,2.4,1.8,1.75,3.1,2.6
Philippines,0,2.6,1.9,3.3,3.5,1.933333333,4,2.3,1.8,1.85,1.3,2.9
Rwanda,0,2.9,3.9,2.3,2.5,3.1,1,3.3,3.2,3.15,1.4,2.6
Senegal,0,2.2,1.3,2.8,1.5,2.05,1,1.9,1.8,1.65,3.6,3.5
Somalia,2,4.6,4.7,4.5,4.5,3.933333333,3,#DIV/0!,#DIV/0!,4.3,5,5
South Sudan,0,4.4,4.9,4.5,4.5,0.55,1,#DIV/0!,1.4,1.1,0,#DIV/0!
Sudan,1,4.2,4.6,4.3,4,3.65,2,1.3,3.6,3.75,4.3,3.8
Swaziland,0,3.5,4.2,#DIV/0!,2,3.083333333,1,3.3,3.2,3.2,5,3.8
Syria,3,4.4,5,4.4,5,3.6,1,1.3,4.6,4.35,2.9,3.7
Tanzania,0,2.8,2.4,3.4,1.5,1.716666667,1,1.6,2.5,2.25,0.6,3.6
Thailand,0,3.2,3.5,3.3,2,2.066666667,3,1.8,2.1,2.75,2.2,2.4
Trinidad and Tobago,2,2.3,1,3.3,0,2.2,1,#DIV/0!,0.7,0.7,3.4,2.2
Tunisia,0,2.3,1.5,3,2,2.1,1,1.4,2.5,2.15,5,1.9
Turkey,2,3,3.4,3,3.5,2.45,4,1.9,2.5,2.35,2.5,2.2
"Turkey, Greece",1.5,2.6,2.1,2.9,2.5,1.783333333,1,1.7,2.1,2.15,1.4,1.5
Uganda,0,3,3.2,3.8,2,2.916666667,3,2.2,2.5,2.4,4.6,3.5
Ukraine,0,2.7,1.9,3.6,3,1.15,1,0,1.4,1.5,1.8,1.9
Vanuatu,0,1.8,1,#DIV/0!,0.5,0.733333333,1,1.5,0.7,0.7,0,#DIV/0!
Venezuela,2,4.1,3.7,4.2,4,2.3,1,2.7,2.5,2.8,1.2,3.1
Yemen,2,4.1,4.4,4.3,5,2.95,2,1.4,4.3,4.2,2.9,5
Zambia,0,2.7,2.3,3.1,0.5,2.516666667,1,3.8,2.1,2.05,3.7,3.5
Zimbabwe,0,3.7,3.5,3.9,3,2.9,1,#DIV/0!,5,4.05,1.8,3.6
Grand Total,0.648760331,3.204651163,3.034108527,3.55952381,3.011627907,2.511757106,129,2.01981982,2.8136,2.721875,3.017054264,3.339285714
