country_region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Afghanistan,-13.44478527607362,3.331288343558282,-5.755681818181818,-14.60857908847185,-16.58244680851064,6.851063829787234
Angola,-23.41263157894737,-10.40748031496063,-18.21153846153846,-39.73922902494331,-11.549256505576208,13.92489270386266
Antigua and Barbuda,-28.786057692307693,-18.189903846153847,-9.372596153846153,-46.15345699831366,-36.77956204379562,12.18359375
Argentina,-53.29395489924832,-18.768194631302453,-65.48704225352112,-52.642863677950594,-19.22947852689101,15.072322067744246
Aruba,-34.26442307692308,-12.057692307692308,-17.504807692307693,-44.63461538461539,-31.110132158590307,13.606635071090047
Australia,-16.99962037329959,-0.8577889949522715,-14.482448463632828,-31.278353126582992,-14.561695278969957,9.339417965028733
Austria,-22.534302290806867,-9.174752894662525,17.010329244673983,-21.164666704943446,-26.435761589403974,5.835376202149726
Bahrain,-29.085836909871244,-11.253218884120171,-28.90557939914163,-25.746781115879827,-19.141630901287552,12.995708154506438
Bangladesh,-34.92274678111588,-17.339055793991417,-14.50214592274678,-31.433476394849784,-20.901287553648068,12.446351931330472
Barbados,-30.253623188405797,-20.72,-21.764150943396228,-48.29967948717949,-35.982131854590264,12.429447852760736
Belarus,-9.360515021459227,2.6909871244635193,35.7038626609442,-8.63519313304721,-15.48068669527897,-0.5064377682403434
Belgium,-25.975407316323395,-9.523780300705738,40.6085409252669,-29.68730839975475,-31.39613378336913,10.948191293684856
Belize,-30.771144278606965,-10.533575317604356,-18.84775641025641,-44.71915584415584,-31.401502504173624,10.938144329896907
Benin,-8.74024024024024,4.218350754936121,6.2834394904458595,-12.028846153846153,-4.857515204170287,5.827534039334342
Bolivia,-52.627629063097515,-41.168815540656695,-44.79206203448628,-56.78388435666237,-34.29240894133666,21.63036093418259
Bosnia and Herzegovina,-19.025751072961373,-2.523605150214592,19.721030042918454,-17.798283261802574,-18.643776824034333,3.124463519313305
Botswana,-18.842323651452283,-5.752759381898454,5.307210031347962,-25.532235939643346,-14.334965034965036,15.346072186836517
Brazil,-33.27535749916861,-0.7044129041558301,-33.40824722606309,-35.39085513653677,-10.179422598201484,10.439760774178037
Bulgaria,-13.783583714347921,-3.652136006974717,17.081753679974586,-18.986985944820407,-18.274407252440724,2.2371899330074236
Burkina Faso,-2.3046251993620417,1.9359165424739195,-4.839598997493734,-13.14102564102564,-3.4138286893704852,4.886247877758914
Cambodia,-15.099102614124073,-11.431451612903226,-12.978925184404636,-35.67036625971143,-15.360561435803037,8.154632587859425
Cameroon,-10.251063829787235,-3.3903205531112506,-14.311021350259665,-6.217667436489608,-5.636310904872389,5.97176241480039
Canada,-13.535226049515607,-0.12197536009168337,51.32621685129238,-31.470963285691514,-26.758202143774806,8.43544066434503
Cape Verde,-43.54977029096478,-23.422138836772984,-44.380630630630634,-62.84381778741866,-33.832159624413144,11.995670995670995
Chile,-47.66675983509189,-32.4517755528344,-50.82867853795689,-49.822540250447226,-27.1488909549741,18.145491483044225
Colombia,-48.43873081442968,-31.737824343128427,-42.55594288715916,-50.680172816440916,-26.5120949162955,16.93690838404327
Costa Rica,-41.69957081545064,-23.48497854077253,-46.58369098712446,-46.257510729613735,-28.206008583690988,15.493562231759658
Croatia,-8.441403663650409,-2.1701235143323236,55.56209476309227,-18.217877094972067,-21.372201872201874,4.253495598135681
Czechia,-11.930109112356238,5.435059299971074,52.01850079744817,-11.255117629086465,-17.49408710700894,3.923605150214592
Côte d'Ivoire,-7.1543909348441925,3.9099447513812153,-3.5359628770301623,-10.869047619047619,-2.980657640232108,8.011560693641618
Denmark,-0.05751750856802265,-1.506313595684688,90.47651006711409,-20.022420684486637,-25.815290265578714,5.446754250386399
Dominican Republic,-37.765058949624866,-23.92529488859764,-36.42465753424658,-51.11200923787529,-33.09865402263689,14.745371987425777
Ecuador,-39.31809647602542,-29.59439338235294,-37.08903638350399,-50.38139448519172,-38.62232321991565,19.70788588784033
Egypt,-30.188943089430893,12.400365934797072,-15.848086586780054,-29.628804031789105,-15.885885447106954,7.762405042831744
El Salvador,-48.2749498997996,-31.85760693015701,-43.27887323943662,-51.93901098901099,-37.112645794966234,18.320054945054945
Estonia,-9.045251396648045,1.281586402266289,56.6764705882353,-7.592822636300897,-26.17579143389199,4.159433962264151
Fiji,-12.07943925233645,-4.136986301369863,-8.515418502202643,-22.904347826086955,-8.634782608695652,8.639484978540773
Finland,-9.348626870580496,2.0950866833219774,72.59983115238498,-27.428571428571427,-26.35650382577987,3.93408581768051
France,-25.287891448808246,-7.2144705929200015,44.262929399367756,-20.78365885145546,-29.87168228329478,9.637195001773819
Gabon,-20.47479674796748,-13.53125,-11.453271028037383,-24.240384615384617,-13.86658506731946,14.377682403433477
Georgia,-29.28723404255319,-13.537234042553191,-2.4867021276595747,-24.45212765957447,-31.10372340425532,6.5611702127659575
Germany,-16.4514011613229,-0.6954973289239379,77.77707175006618,-20.965639211723094,-20.095430446856856,5.555162837667256
Ghana,-15.2689556509299,-6.626609442060086,-17.2566765578635,-18.045779685264662,-13.263233190271817,12.319027181688126
Greece,-10.502171552660151,12.798445308162131,73.81656124209316,-3.4577343300747554,-17.66684549356223,4.614270386266094
Guatemala,-40.855520926090826,-30.70329949238579,-36.580028765153074,-50.75779880827199,-28.86058276001619,14.775105485232068
Guinea-Bissau,-25.264150943396228,-11.952380952380953,-15.273809523809524,,-16.6875,
Haiti,-21.55177743431221,-19.542347696879645,-16.28659476117103,-32.75664335664336,-20.660425101214575,7.056338028169014
Honduras,-52.835890117731005,-34.30570252792475,-39.38594211458948,-53.19205658324265,-35.72962847330628,14.78935532233883
