,country_region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Avg. Denial of existence of humanitarian needs or entitlements to assistance,Average of Rule of Law,Average of Freedom in the World,Average of Corruption Perception,Average of Safety and security,Average of Social cohesion,Count of Inequality,Avg Income Gini coefficient,Avg. Empowerment,Avg. Trust in society,Avg. Ethnic Fractionalisation,Avg. Gender Inequality
0,afghanistan,-13.44478527607362,3.3312883435582816,-5.7556818181818175,-14.60857908847185,-16.58244680851064,6.851063829787233,0.0,4.0,3.7,4.3,5.0,2.616666667,1,0.4,3.6,3.55,3.8,4.4
1,bangladesh,-34.92274678111588,-17.339055793991413,-14.502145922746779,-31.433476394849787,-20.901287553648068,12.446351931330474,1.0,3.2,2.8,3.7,2.0,2.0,3,0.9,2.5,2.6,1.2,3.5
2,brazil,-33.275357499168614,-0.7044129041558301,-33.40824722606309,-35.39085513653677,-10.179422598201485,10.439760774178037,0.0,2.0,1.1,3.0,2.0,1.9166666669999999,1,3.3,0.7,0.95,2.8,2.8
3,burkina faso,-2.3046251993620417,1.9359165424739195,-4.8395989974937335,-13.14102564102564,-3.413828689370485,4.8862478777589144,0.0,2.6,2.0,2.9,3.5,2.2166666669999997,1,1.3,1.1,1.45,5.0,4.1
4,cameroon,-10.251063829787237,-3.3903205531112506,-14.311021350259663,-6.217667436489607,-5.6363109048723885,5.97176241480039,0.5,3.6,3.9,3.7,4.0,2.833333333,4,2.7,3.2,3.1,4.3,3.8
5,colombia,-48.43873081442968,-31.737824343128427,-42.555942887159155,-50.68017281644092,-26.5120949162955,16.93690838404327,0.0,2.4,1.8,3.2,4.0,2.3,2,3.6,1.4,1.5,2.1,2.6
6,costa rica,-41.69957081545064,-23.484978540772534,-46.58369098712446,-46.25751072961374,-28.206008583690988,15.493562231759658,0.0,1.2,0.5,2.1,0.0,1.25,1,2.9,1.1,0.8,0.7,2.1
7,ecuador,-39.318096476025424,-29.594393382352944,-37.08903638350399,-50.38139448519172,-38.62232321991565,19.707885887840327,0.0,2.9,2.0,3.5,2.0,2.4,1,2.5,1.8,1.95,2.3,2.6
8,egypt,-30.18894308943089,12.400365934797072,-15.848086586780054,-29.62880403178911,-15.885885447106956,7.762405042831744,2.0,3.3,3.7,3.3,2.0,2.233333333,1,0.7,3.9,3.55,0.9,3.8
9,el salvador,-48.2749498997996,-31.85760693015701,-43.278873239436614,-51.939010989010995,-37.11264579496624,18.320054945054945,0.0,2.5,1.5,3.2,3.5,1.966666667,1,2.1,0.7,1.05,5.0,2.6
10,greece,-10.502171552660153,12.798445308162133,73.81656124209316,-3.4577343300747554,-17.66684549356223,4.614270386266094,1.0,2.0,0.8,2.8,2.0,1.083333333,1,1.5,1.8,1.8,0.3,0.8
11,guatemala,-40.855520926090826,-30.70329949238579,-36.58002876515307,-50.75779880827199,-28.860582760016193,14.77510548523207,0.0,3.0,2.2,3.6,3.5,2.7,1,3.0,1.1,1.8,2.4,3.3
12,haiti,-21.55177743431221,-19.542347696879645,-16.286594761171028,-32.75664335664336,-20.660425101214575,7.056338028169013,0.0,3.6,3.0,4.0,2.0,2.35,1,4.5,2.1,2.55,0.5,4.0
13,honduras,-52.83589011773101,-34.30570252792475,-39.385942114589476,-53.192056583242646,-35.72962847330628,14.78935532233883,0.0,3.1,2.7,3.5,3.5,1.95,1,3.2,1.8,1.95,0.8,3.1
14,india,-45.26627845044917,-1.841199096403932,-29.11889135069605,-33.12437118771846,-17.56888705006206,13.229523737034755,0.5,2.1,1.2,3.0,3.5,2.133333333,4,1.1,2.5,1.85,4.4,3.5
