Date,Open,High,Low,Close,Lockdown
01-Feb-20,40753.18,40905.78,39631.24,39735.53,No
03-Feb-20,39701.02,40014.9,39563.07,39872.31,No
04-Feb-20,40178.74,40818.94,40117.46,40789.38,No
05-Feb-20,40921.71,41177,40703.32,41142.66,No
06-Feb-20,41209.13,41405.43,41113.11,41306.03,No
07-Feb-20,41394.41,41394.41,41073.36,41141.85,No
10-Feb-20,41166.72,41172.06,40798.98,40979.62,No
11-Feb-20,41183.39,41444.34,41179.14,41216.14,No
12-Feb-20,41330.85,41671.86,41330.85,41565.9,No
13-Feb-20,41707.21,41709.3,41338.31,41459.79,No
14-Feb-20,41510.19,41702.36,41183.13,41257.74,No
17-Feb-20,41324.04,41420.34,41030.58,41055.69,No
18-Feb-20,41042.46,41042.46,40610.95,40894.38,No
19-Feb-20,41121.51,41357.16,41048.93,41323,No
20-Feb-20,41334.96,41399.93,41134.31,41170.12,No
24-Feb-20,41037.01,41037.01,40306.36,40363.23,No
25-Feb-20,40497.72,40536,40220.59,40281.2,No
26-Feb-20,40194.89,40255.39,39760.39,39888.96,No
27-Feb-20,39947.8,39947.8,39423.27,39745.66,No
28-Feb-20,39087.47,39087.47,38219.97,38297.29,No
02-Mar-20,38910.95,39083.17,37785.99,38144.02,No
03-Mar-20,38480.89,38754.24,38142.3,38623.7,No
04-Mar-20,38715.72,38791.7,37846.1,38409.48,No
05-Mar-20,38604.25,38887.8,38386.68,38470.61,No
06-Mar-20,37613.96,37747.07,37011.09,37576.62,No
09-Mar-20,36950.2,36950.2,35109.18,35634.95,No
11-Mar-20,35468.9,36021.51,35261.92,35697.4,No
12-Mar-20,34472.5,34472.5,32493.1,32778.14,No
13-Mar-20,31214.13,34769.48,29388.97,34103.48,No
16-Mar-20,33103.24,33103.24,31276.3,31390.07,No
17-Mar-20,31611.57,32047.98,30394.94,30579.09,No
18-Mar-20,30968.84,31101.77,28613.05,28869.51,No
19-Mar-20,27773.36,29370.53,26714.46,28288.23,No
20-Mar-20,28460.82,30418.2,27932.67,29915.96,No
23-Mar-20,27608.8,27900.83,25880.83,25981.24,No
24-Mar-20,27056.23,27462.87,25638.9,26674.03,Full
25-Mar-20,26499.81,28790.19,26359.91,28535.78,Full
26-Mar-20,29073.71,30099.91,28566.34,29946.77,Full
27-Mar-20,30747.81,31126.03,29346.99,29815.59,Full
30-Mar-20,29226.55,29497.57,28290.99,28440.32,Full
31-Mar-20,29294.94,29770.88,28667.36,29468.49,Full
01-Apr-20,29505.33,29505.98,28073.43,28265.31,Full
03-Apr-20,28623.53,28639.12,27500.79,27590.95,Full
07-Apr-20,28898.36,30157.65,28602.31,30067.21,Full
08-Apr-20,29701.92,31227.97,29602.94,29893.96,Full
09-Apr-20,30571.19,31225.2,30420.22,31159.62,Full
13-Apr-20,31195.72,31195.72,30474.15,30690.02,Full
15-Apr-20,31277.11,31568.36,30222.07,30379.81,Full
16-Apr-20,30095.51,30800.2,30016.17,30602.61,Full
17-Apr-20,31656.68,31718.73,30960.94,31588.72,Full
20-Apr-20,32056.19,32056.47,31490.26,31648,Full
21-Apr-20,30836.19,30900.12,30378.26,30636.71,Full
22-Apr-20,30856.14,31471.14,30578.55,31379.55,Full
23-Apr-20,31646.45,31959.02,31292.92,31863.08,Full
24-Apr-20,31426.62,31842.24,31278.27,31327.22,Full
27-Apr-20,31659.04,32103.7,31651.58,31743.08,Full
28-Apr-20,32101.91,32199.91,31661.34,32114.52,Full
29-Apr-20,32311.04,32897.59,32171.65,32720.16,Full
30-Apr-20,33381.19,33887.25,33354.93,33717.62,Full
04-May-20,32748.14,32748.14,31632.02,31715.35,Full
05-May-20,32182.9,32264,31403.57,31453.51,Full
06-May-20,31577.63,31970.84,31158.75,31685.75,Full
07-May-20,31677.69,31705.25,31362.87,31443.38,Full
08-May-20,32083.32,32088.51,31598,31642.7,Full
11-May-20,32030.34,32301.58,31500.87,31561.22,Full
12-May-20,31342.93,31536.89,30844.66,31371.12,Full
13-May-20,32841.87,32845.48,31901.92,32008.61,Full
14-May-20,31466.33,31630.94,31052.65,31122.89,Full
15-May-20,31296.28,31296.28,30770.48,31097.73,Full
18-May-20,31248.26,31248.26,29968.45,30028.98,Full
19-May-20,30450.74,30739.96,30116.82,30196.17,Full
20-May-20,30159.59,30878.31,30157.75,30818.61,Full
21-May-20,30904.29,31188.79,30765.32,30932.9,Full
22-May-20,30822.78,31107.91,30474.88,30672.59,Full
26-May-20,30864.27,31086.7,30512.14,30609.3,Full
27-May-20,30793.11,31660.6,30525.68,31605.22,Full
28-May-20,31827.8,32267.23,31641.77,32200.59,Full
29-May-20,32041.29,32480.52,31823.8,32424.1,Full
01-Jun-20,32906.05,33673.83,32876.55,33303.52,Partial
02-Jun-20,33450.19,33866.63,33301.29,33825.53,Partial
03-Jun-20,34185.41,34488.69,34027.5,34109.54,Partial
